version,label,representative_image_rel,representative_image_abs,image_count,geometry_count,spec_count,generator_file_count,remote_file_count
50,strict_visual_matched_texture_V50_lsystem_branch_tapered_tip_highres_yfork_BD_zoom_white_20260511,visuals/strict_visual_matched_texture_V50_lsystem_branch_tapered_tip_highres_yfork_BD_zoom_white_20260511/V50_lsystem_branch_taperedtip_BD_glb_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V50_lsystem_branch_tapered_tip_highres_yfork_BD_zoom_white_20260511/V50_lsystem_branch_taperedtip_BD_glb_contact_sheet_20260511.png,47,10,30,22,6
51,strict_visual_matched_texture_V51_lsystem_branch_graph_taper_yfork_BD_zoom_white_20260511,visuals/strict_visual_matched_texture_V51_lsystem_branch_graph_taper_yfork_BD_zoom_white_20260511/V51_lsystem_branch_graph_taper_yfork_BD_glb_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V51_lsystem_branch_graph_taper_yfork_BD_zoom_white_20260511/V51_lsystem_branch_graph_taper_yfork_BD_glb_contact_sheet_20260511.png,47,10,32,22,9
52,strict_visual_matched_cases_V52_lsystem_branch_obj_zoom_lightbark_graph_taper_20260511,visuals/strict_visual_matched_cases_V52_lsystem_branch_obj_zoom_lightbark_graph_taper_20260511/V52_lsystem_branch_lightbark_graph_taper_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V52_lsystem_branch_obj_zoom_lightbark_graph_taper_20260511/V52_lsystem_branch_lightbark_graph_taper_obj_contact_sheet_20260511.png,30,4,13,13,0
53,strict_visual_matched_cases_V53_lsystem_branch_obj_zoom_natural_bough_div265_20260511,visuals/strict_visual_matched_cases_V53_lsystem_branch_obj_zoom_natural_bough_div265_20260511/V53_lsystem_branch_natural_bough_div265_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V53_lsystem_branch_obj_zoom_natural_bough_div265_20260511/V53_lsystem_branch_natural_bough_div265_obj_contact_sheet_20260511.png,63,4,14,14,0
54,strict_visual_matched_cases_V54_lsystem_branch_obj_zoom_centered_bough_20260511,visuals/strict_visual_matched_cases_V54_lsystem_branch_obj_zoom_centered_bough_20260511/V54_lsystem_branch_centered_bough_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V54_lsystem_branch_obj_zoom_centered_bough_20260511/V54_lsystem_branch_centered_bough_obj_contact_sheet_20260511.png,42,4,13,13,0
55,strict_visual_matched_cases_V55_lsystem_branch_obj_zoom_elongated_saddle_20260511,visuals/strict_visual_matched_cases_V55_lsystem_branch_obj_zoom_elongated_saddle_20260511/V55_lsystem_branch_elongated_saddle_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V55_lsystem_branch_obj_zoom_elongated_saddle_20260511/V55_lsystem_branch_elongated_saddle_obj_contact_sheet_20260511.png,26,4,13,13,0
56,strict_visual_matched_cases_V56_lsystem_branch_obj_zoom_basal_continuation_20260511,visuals/strict_visual_matched_cases_V56_lsystem_branch_obj_zoom_basal_continuation_20260511/V56_lsystem_branch_basal_continuation_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V56_lsystem_branch_obj_zoom_basal_continuation_20260511/V56_lsystem_branch_basal_continuation_obj_contact_sheet_20260511.png,26,4,13,13,0
57,strict_visual_matched_cases_V57_lsystem_branch_obj_zoom_tapered_midbough_20260511,visuals/strict_visual_matched_cases_V57_lsystem_branch_obj_zoom_tapered_midbough_20260511/V57_lsystem_branch_tapered_midbough_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V57_lsystem_branch_obj_zoom_tapered_midbough_20260511/V57_lsystem_branch_tapered_midbough_obj_contact_sheet_20260511.png,26,4,13,13,0
58,strict_visual_matched_texture_V58_lsystem_branch_short_bough_yfork_BD_zoom_white_20260511,visuals/strict_visual_matched_texture_V58_lsystem_branch_short_bough_yfork_BD_zoom_white_20260511/V58_lsystem_branch_short_bough_BD_glb_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V58_lsystem_branch_short_bough_yfork_BD_zoom_white_20260511/V58_lsystem_branch_short_bough_BD_glb_contact_sheet_20260511.png,39,10,31,22,6
59,strict_visual_matched_texture_V59_lsystem_branch_smooth_short_bough_yfork_BD_smoothpost_barkoverride_zoom_white_20260511,visuals/strict_visual_matched_texture_V59_lsystem_branch_smooth_short_bough_yfork_BD_smoothpost_barkoverride_zoom_white_20260511/V59_lsystem_branch_smooth_short_bough_BD_smoothpost_barkoverride_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V59_lsystem_branch_smooth_short_bough_yfork_BD_smoothpost_barkoverride_zoom_white_20260511/V59_lsystem_branch_smooth_short_bough_BD_smoothpost_barkoverride_contact_sheet_20260511.png,173,12,49,22,6
60,strict_visual_matched_texture_V60_lsystem_branch_clean_export_fine_zoom_white_20260511,visuals/strict_visual_matched_texture_V60_lsystem_branch_clean_export_fine_zoom_white_20260511/V60_lsystem_branch_clean_export_fine_BD_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V60_lsystem_branch_clean_export_fine_zoom_white_20260511/V60_lsystem_branch_clean_export_fine_BD_contact_sheet_20260511.png,33,4,15,2,0
