source_table,source_rows,group_by,group_value,column,n,mean,median,min,max
results/baseline_matrix_seed_20260512/metrics.csv,36,case,vine,mesh_component_count,12,1.25,1.0,1.0,4.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,vine,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,vine,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,,,vertices,24,174257.458333,72895.0,12976.0,623655.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,,,faces,24,184986.0,134038.0,26136.0,482348.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,family,DLA/coral,vertices,4,144007.5,163003.5,12976.0,237047.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,family,DLA/coral,faces,4,141633.0,180132.0,26136.0,180132.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,family,bismuth,vertices,8,33150.375,26044.5,20750.0,56830.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,family,bismuth,faces,8,54557.0,52236.0,41584.0,66276.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,family,pyrite,vertices,6,169179.5,167230.0,43656.0,294399.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,family,pyrite,faces,6,285608.666667,233480.0,87944.0,482348.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,family,radial/transform,vertices,1,21443.0,21443.0,21443.0,21443.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,family,radial/transform,faces,1,43544.0,43544.0,43544.0,43544.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,family,vine/root,vertices,5,460885.2,548237.0,14615.0,623655.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,family,vine/root,faces,5,335896.0,399336.0,29496.0,444214.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,bismuth_hopper_bismuth_hq_steps8_tex2048_xformers_textured,vertices,1,56830.0,56830.0,56830.0,56830.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,bismuth_hopper_bismuth_hq_steps8_tex2048_xformers_textured,faces,1,66276.0,66276.0,66276.0,66276.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,bismuth_hopper_cluster,vertices,1,33077.0,33077.0,33077.0,33077.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,bismuth_hopper_cluster,faces,1,66276.0,66276.0,66276.0,66276.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,bismuth_hopper_depth,vertices,4,24431.0,24285.5,22215.0,26938.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,bismuth_hopper_depth,faces,4,49011.0,48708.0,44592.0,54036.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,bismuth_hopper_pyrite_hq_steps8_tex2048_xformers_textured,vertices,1,56822.0,56822.0,56822.0,56822.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,bismuth_hopper_pyrite_hq_steps8_tex2048_xformers_textured,faces,1,66276.0,66276.0,66276.0,66276.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,hard_bismuth,vertices,1,20750.0,20750.0,20750.0,20750.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,hard_bismuth,faces,1,41584.0,41584.0,41584.0,41584.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,hard_dla,vertices,1,12976.0,12976.0,12976.0,12976.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,hard_dla,faces,1,26136.0,26136.0,26136.0,26136.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,hard_radial,vertices,1,21443.0,21443.0,21443.0,21443.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,hard_radial,faces,1,43544.0,43544.0,43544.0,43544.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,pyrite_crystal_lattice_cluster,vertices,1,109994.0,109994.0,109994.0,109994.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,pyrite_crystal_lattice_cluster,faces,1,226088.0,226088.0,226088.0,226088.0
